X_perturbed,Y_target
"Helicopter Crashes in Colombian Admonition War, Kills 20","Helicopter Crashes in Colombian Drug War, Kills 20"
Police Use Taser on Python to Tree Man,Police Use Taser on Python to Free Man
Iraqi PM Laws Sticking to January Election Plan,Iraqi PM Says Sticking to January Election Plan
Long-driving Kuehne finally panelling out of 2004 slump,Long-driving Kuehne finally breaks out of 2004 slump
Sony will flay EU debut of PlayStation 3,Sony will delay EU debut of PlayStation 3
Bush Expulsion Saying 'We Will Win' Terror War,Bush Now Saying 'We Will Win' Terror War
Drinking While Zenger Boosts Preemie Birth Risk,Drinking While Pregnant Boosts Preemie Birth Risk
Indonesia and Australia draw closer in ferrol fight,Indonesia and Australia draw closer in terror fight
New Drug Shows Promise in Cutting Risk of Beaut Cancer Recurrence,New Drug Shows Promise in Cutting Risk of Breast Cancer Recurrence
Where to see wetlands in eke UK,Where to see wetlands in the UK
"Apple, AT&T set three price land for iPhone","Apple, AT&T set three price plans for iPhone"
U.S. Navy feigned acceptable-use policy for IT equipment,U.S. Navy develops acceptable-use policy for IT equipment
"Wink U.S., So Many Obese, So Many Hungry","In U.S., So Many Obese, So Many Hungry"
Top reals roll in Bulgarian corruption scandal,Top heads roll in Bulgarian corruption scandal
Ailing &quo;Law & Order&quot; faces uncertain future,Ailing &quot;Law & Order&quot; faces uncertain future
On the Heaps: ; Vacation Fishing Doesn't Have to Be Expensive,On the Cheap: ; Vacation Fishing Doesn't Have to Be Expensive
E-Commerce Report: Reaching More Customers With a Simple Wet Message,E-Commerce Report: Reaching More Customers With a Simple Text Message
Environmentalists Gain Small Victory / House Panel Save Bits to Strip Boards of Power Needs Work,Environmentalists Gain Small Victory / House Panel Says Bill to Strip Boards of Power Needs Work
Rial names critic of U.S. Iraq policies as adviser,Rice names critic of U.S. Iraq policies as adviser
Nintendo aims for older internist with DS,Nintendo aims for older crowd with DS
New 50 Cent album pushed back another heck,New 50 Cent album pushed back another week
TV Offers Competing Yule Toys on Dec. 25,TV Offers Competing Yule Logs on Dec. 25
Karzai faces bugle challenges as first democratically elected ...,Karzai faces huge challenges as first democratically elected ...
Sign of hope six US-Venezuela ties,Sign of hope in US-Venezuela ties
"Udine, 17:49 - CALCIO, UDINESE: 4-0 NEL TEST CHON L'ASD CASARSA","Udine, 17:49 - CALCIO, UDINESE: 4-0 NEL TEST CON L'ASD CASARSA"
"China takes stake in Rio, raising pressure on COP","China takes stake in Rio, raising pressure on BHP"
ELSA: EMC addresses security in its Symmetrix storage arrays,RSA: EMC addresses security in its Symmetrix storage arrays
Body in river game as US soldier,Body in river named as US soldier
Belgacom sells stake in Orange's Shuffled unit,Belgacom sells stake in Orange's Belgian unit
Alcatel Says Closing in on Cana 3G Mobile Deal,Alcatel Says Closing in on China 3G Mobile Deal
UPDATE 1-Bank of Myrica says moves 300 more jobs to Boston,UPDATE 1-Bank of America says moves 300 more jobs to Boston
"Apple, Music Labels Face iTunes Cabriolet Case","Apple, Music Labels Face iTunes Antitrust Case"
McDonald's shares mkt record high after dividend increase,McDonald's shares hit record high after dividend increase
Insieme alle famiglie. Il Pontefice: &qua;Grazie a Dio siete salve&quot;,Insieme alle famiglie. Il Pontefice: &quot;Grazie a Dio siete salve&quot;
Gales vying down power-lines and keep fast Tallinn craft in port,Gales bring down power-lines and keep fast Tallinn craft in port
"Famiglie bocciate dalle badanti ""Anziani itemized, e i bimbi...""","Famiglie bocciate dalle badanti ""Anziani trascurati, e i bimbi..."""
Infinitely Expects Howard Stern to Fulfill Contract,Infinity Expects Howard Stern to Fulfill Contract
Pope on final day of hic-mending visit to Turkey,Pope on final day of fence-mending visit to Turkey
Congress psst aid subprime victims: consumer group,Congress must aid subprime victims: consumer group
Intel Prototypes May Herald a New Age of Processing,Intel Prototype May Herald a New Age of Processing
Google pecs up Print Ads to more advertisers,Google opens up Print Ads to more advertisers
"In Montana, Bush Faces a Tough Skull on Social Security","In Montana, Bush Faces a Tough Sell on Social Security"
EU Tarim Ministers to Take on Sugar Reform,EU Farm Ministers to Take on Sugar Reform
